thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.423524221692E9,null,null,null,0.0,1949.0,2528.0,284.0,95.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522503706E9,null,null,null,3637.0,5.0,4334.0,253.0,323.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522142205E9,null,null,null,0.0,3.0,1131.0,253.0,375.0,363.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523481689E9,null,null,null,0.0,3.0,716.0,253.0,343.0,4.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524581693E9,null,null,null,0.0,325.0,968.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522042203E9,null,null,null,0.0,324.0,913.0,253.0,371.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522501706E9,null,null,null,0.0,3.0,4334.0,253.0,430.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522502706E9,null,null,null,3637.0,5.0,4334.0,253.0,430.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522882692E9,null,null,null,4092.0,5.0,4878.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522142205E9,null,null,null,0.0,3.0,1131.0,253.0,375.0,363.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523561691E9,null,null,null,0.0,3.0,716.0,253.0,460.0,8.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522521707E9,null,null,null,3637.0,5.0,5142.0,253.0,323.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
